Close/Last,Volume,Open,High,Low,Date
505.55,3761327,512.62,512.99,504.58,296
506.52,3192983,505.20,508.40,503.34,297
509.00,5127792,507.60,509.29,499.00,298
513.47,4413242,505.00,514.55,505.00,299
509.11,4091895,512.65,518.95,505.20,300
503.18,4349502,510.78,511.63,496.79,301
496.08,3129366,504.99,507.78,494.63,302
499.55,3783698,495.99,499.55,491.37,303
503.84,3132786,504.62,508.55,501.12,304
486.69,5131632,502.00,503.15,486.11,305
495.08,4401000,479.75,497.99,478.63,306
484.98,4121540,486.83,493.54,482.70,307
486.66,2716561,489.13,490.78,482.71,308
493.37,2882464,487.86,494.85,486.59,309
488.94,2701057,485.59,492.71,482.81,310
486.28,2350496,488.40,493.48,486.19,311
487.70,3349930,481.63,488.57,478.54,312
501.67,3721218,489.55,502.70,488.98,313
497.89,3322925,503.12,505.40,497.26,314
502.90,2412595,501.05,504.25,499.51,315
501.34,2699459,506.00,506.37,499.22,316
502.36,2465303,502.34,504.14,500.50,317
503.86,3253773,501.80,505.10,498.54,318
502.81,2911297,504.40,511.76,502.53,319
499.08,2482555,504.01,505.41,497.74,320
499.24,2268979,499.82,503.22,495.82,321
489.43,3887445,495.19,496.66,487.25,322
494.74,3160487,492.00,501.86,490.95,323
494.66,2791932,492.92,496.70,490.55,324
492.39,2374037,497.00,498.82,489.37,325
485.81,3055029,494.50,496.09,484.65,326
487.27,4382928,487.17,490.21,482.14,327
488.77,3123969,490.00,491.41,487.78,328
499.89,4400222,489.68,503.50,486.91,329
491.90,3104073,501.23,501.23,490.40,330
492.41,3533206,495.00,496.46,486.28,331
498.34,3198273,490.25,501.80,490.15,332
500.77,5197576,496.40,504.49,495.24,333
497.00,5277297,501.64,502.05,492.28,334
508.82,5809271,498.54,513.55,495.80,335
512.74,3944782,508.48,516.63,508.20,336
518.06,3361202,517.96,520.96,514.40,337
527.07,5299072,528.84,533.06,525.00,338
533.03,2820227,528.12,533.94,524.56,339
533.50,2314647,533.55,536.13,528.57,340
528.21,2773445,534.06,534.38,526.82,341
533.54,2805402,525.72,537.04,525.72,342
533.98,1980316,535.50,538.54,529.39,343
541.64,2775051,533.00,542.86,533.00,344
535.96,2722498,544.24,544.64,531.66,345
530.76,3268988,530.93,535.50,529.09,346
535.98,2777231,531.00,538.26,528.58,347
537.31,1780738,540.30,540.65,532.92,348
540.68,2751593,535.76,545.33,535.76,349
547.95,4659535,541.01,554.10,541.01,350
542.95,5713873,553.97,557.54,538.20,351
530.31,3442101,541.81,544.06,527.05,352
532.28,3885764,526.05,534.91,522.24,353
531.05,6930440,526.07,536.64,520.30,354
513.63,11906790,526.13,530.99,505.61,355
511.77,4328061,510.21,513.68,507.00,356
515.41,3820478,512.16,517.41,504.66,357
516.49,2254538,514.38,521.13,509.01,358
518.91,2759037,518.08,521.95,512.05,359
519.30,2390466,521.82,524.47,516.98,360
514.25,1736014,519.96,520.78,513.79,361
517.57,2537107,512.69,519.79,510.96,362
515.15,2096632,519.00,519.85,510.51,363
510.82,2579427,514.39,515.63,505.37,364
517.35,2039374,513.00,517.98,510.37,365
524.89,2556687,517.13,525.41,514.02,366
520.55,1919798,524.00,526.84,519.39,367
519.97,1367782,521.15,522.67,517.99,368
515.84,1960544,520.00,520.79,512.97,369
512.40,1673904,517.00,519.57,509.77,370
510.72,1686170,511.86,513.00,507.20,371
515.92,2177736,512.64,521.44,511.51,372
517.92,2033176,515.24,523.38,512.30,373
518.91,2309803,515.47,520.79,514.20,374
521.87,2582046,520.00,526.38,518.65,375
543.71,7497292,522.74,548.39,521.87,376
546.88,3776429,545.09,551.39,539.10,377
553.33,2602010,545.98,555.55,543.74,378
553.41,2109525,551.48,555.31,549.27,379
547.58,2065621,550.16,552.84,545.45,380
550.12,1595499,546.16,552.60,545.90,381
558.92,3252595,551.60,564.17,549.25,382
566.18,2434839,557.25,567.16,556.45,383
569.19,2431886,566.12,569.48,561.61,384
582.07,5626214,569.00,591.00,569.00,385
588.55,6184782,583.68,598.76,583.68,386
590.53,2684005,585.80,591.88,583.14,387
606.71,5830979,594.69,613.85,593.99,388
606.05,5424503,603.84,615.60,595.71,389
597.54,2954214,606.47,609.44,596.55,390
598.72,3950764,598.16,609.45,593.67,391
589.29,3062871,598.57,598.57,582.78,392
577.76,3456958,584.89,587.28,575.56,393
582.87,2755615,578.17,584.62,575.37,394
586.50,1832028,584.30,587.48,577.72,395
589.35,4145145,587.85,590.28,580.85,396
575.43,3732227,586.79,591.53,568.08,397
573.14,2250884,578.31,581.88,569.37,398
590.65,4021845,579.69,595.65,579.69,399
593.26,2526161,590.79,599.32,589.13,400
592.39,2126246,592.50,592.98,583.64,401
592.64,2504738,587.95,593.58,576.93,402
583.85,4431051,589.00,599.54,580.16,403
599.06,6221026,589.01,609.88,588.01,404
610.34,6616040,608.05,619.00,608.05,405
613.15,4090847,604.24,614.99,597.51,406
603.35,4995932,613.39,626.13,594.68,407
634.81,9534293,606.94,640.39,606.89,408
639.10,4580434,628.18,639.87,626.36,409
631.85,3556886,642.23,646.84,630.45,410
632.66,3272093,634.17,643.80,630.86,411
627.04,2862470,633.20,639.42,626.78,412
624.94,3227349,633.02,637.66,621.99,413
629.76,2424638,632.18,632.18,622.10,414
633.80,2672535,632.23,636.88,626.79,415
628.29,4116874,638.00,639.42,625.16,416
637.97,4669071,632.10,638.41,620.59,417
639.00,7633147,636.97,641.00,632.30,418
625.14,10622000,625.57,637.40,617.15,419
653.16,8437070,628.89,654.01,628.65,420
664.78,6186016,651.81,665.46,651.81,421
671.66,3833526,663.74,675.88,657.07,422
668.52,2904840,673.76,676.49,662.77,423
662.92,2276914,669.00,671.41,661.85,424
674.05,2859409,670.95,676.80,668.03,425
690.31,3825279,673.06,690.97,671.24,426
681.17,3110911,689.06,689.97,676.54,427
677.72,3888597,683.11,687.68,673.82,428
688.29,2334852,677.27,689.39,677.27,429
668.40,4865023,685.89,685.94,665.50,430
645.72,5283488,663.97,665.64,645.01,431
651.45,2887523,650.29,656.00,643.79,432
655.99,2415630,653.70,660.50,650.52,433
646.91,2405785,653.01,660.33,642.11,434
657.58,2868311,650.24,665.82,649.71,435
682.61,4198410,660.01,683.34,653.82,436
679.33,2872186,681.24,685.26,671.49,437
687.40,2077387,678.27,688.36,676.90,438
691.69,2732831,690.00,700.99,686.09,439
682.02,2014992,691.61,691.74,679.74,440
678.80,2614852,692.35,694.16,675.00,441
659.20,2765318,676.02,679.48,656.47,442
654.06,2320917,658.18,666.43,646.05,443
658.29,1867282,658.01,661.44,651.10,444
665.64,2872513,675.00,676.41,660.67,445
663.84,2529364,663.20,667.99,658.29,446
641.90,5608919,668.20,675.38,640.01,447
617.77,3897019,649.48,654.52,617.07,448
616.47,3331131,617.10,625.36,612.88,449
602.13,4829282,622.75,625.50,594.00,450
612.69,3075672,606.01,617.29,601.00,451
625.58,3125190,619.83,628.89,611.40,452
628.08,2220308,630.00,632.46,623.20,453
611.00,2376321,627.58,630.24,610.44,454
611.66,2748774,616.78,617.74,605.88,455
604.56,2517915,612.00,612.64,599.52,456
597.99,2984536,598.71,602.29,588.13,457
605.04,2866196,598.18,605.69,584.51,458
591.06,3143217,597.09,602.83,588.00,459
586.73,4433706,591.61,593.25,581.74,460
593.74,3358404,586.43,602.88,584.26,461
604.92,2319390,597.54,607.82,593.86,462
614.24,2335745,603.36,614.82,602.63,463
614.09,1621146,616.40,616.88,607.57,464
613.12,2062233,615.00,615.00,609.25,465
610.71,1884116,614.95,618.41,609.69,466
610.54,1287513,610.71,613.98,604.68,467
612.09,1625093,612.99,620.61,611.24,468
602.44,1995918,610.01,614.08,602.05,469
597.37,3068808,605.61,609.99,590.56,470
591.15,4393135,599.91,600.41,581.60,471
567.52,4148749,592.00,592.84,566.88,472
553.29,5711795,554.34,563.36,542.01,473
541.06,3382873,549.46,553.43,538.22,474
539.85,4486145,538.49,543.69,526.32,475
540.84,3077836,536.99,543.91,530.07,476
537.22,3787372,544.27,544.27,532.02,477
519.20,4475063,537.06,540.79,518.26,478
525.69,7861109,517.60,538.37,511.88,479
510.80,4844418,520.08,521.75,508.68,480
515.86,4353508,515.00,523.21,510.51,481
508.25,12658990,517.75,526.64,506.93,482
397.50,58904270,400.43,409.15,379.99,483
387.15,32386780,383.91,387.26,351.46,484
366.42,15145820,379.14,387.71,365.13,485
359.70,12683980,378.27,382.66,356.62,486
386.70,24324750,382.06,394.80,378.10,487
384.36,11966610,386.76,387.00,372.08,488
427.14,20047450,401.97,427.70,398.20,489
457.13,22568100,432.96,458.48,425.54,490
429.48,14346010,448.25,451.98,426.48,491
405.60,9905210,421.44,429.26,404.28,492
410.17,7789798,407.31,412.77,396.64,493
402.10,8232859,410.17,412.35,393.55,494
403.53,6818543,398.18,406.61,395.83,495
412.89,7738227,408.65,412.98,398.79,496
406.27,8452915,402.10,408.00,396.36,497
391.31,7558939,405.33,411.61,387.65,498
396.57,7202155,387.59,409.36,386.89,499
407.46,5395641,403.79,409.16,401.01,500
398.08,5277650,401.53,401.56,390.38,501
386.67,4669222,394.24,399.11,385.70,502
391.29,6801668,392.53,402.87,389.05,503
377.38,6697515,388.95,392.42,373.02,504
367.46,4614290,382.72,386.00,366.66,505
390.03,7068724,355.09,390.73,354.72,506
390.80,4841636,386.61,391.29,375.58,507
394.52,5035046,387.33,397.75,382.13,508
386.24,3290439,391.60,395.00,383.71,509
380.03,5356809,388.93,389.22,375.21,510
368.07,6076836,386.00,386.12,364.65,511
361.73,5329180,368.00,374.82,357.17,512
350.26,5708383,360.41,362.00,350.20,513
341.76,6428655,349.80,358.86,340.67,514
358.79,6520186,357.69,364.14,350.51,515
356.77,4807767,356.20,367.02,353.30,516
340.32,4819925,361.19,363.36,340.00,517
331.01,5907817,338.72,341.32,329.82,518
343.75,5460640,335.10,345.36,332.36,519
357.53,6982469,348.20,359.99,343.06,520
371.40,5818348,359.70,373.31,354.88,521
380.60,8324825,372.00,381.80,368.47,522
374.59,4866463,378.02,381.82,368.94,523
382.92,4242762,371.14,386.66,366.76,524
374.49,3728954,379.77,382.46,374.49,525
375.71,3888461,379.76,379.76,368.90,526
373.85,3575953,377.07,377.64,366.43,527
378.51,4323435,375.23,380.28,366.73,528
391.82,5880723,384.39,396.50,380.33,529
381.47,4023301,389.55,392.70,378.63,530
374.59,4134720,383.59,384.00,373.61,531
373.47,4644237,376.80,380.87,368.50,532
391.50,7009235,373.55,396.02,373.13,533
380.15,4234508,389.30,390.00,377.31,534
368.35,4354885,374.15,376.47,362.73,535
362.15,4948909,365.00,368.54,353.69,536
355.88,4025183,361.96,362.50,354.87,537
348.00,3777096,350.00,354.78,345.20,538
344.10,3824261,355.91,359.41,342.25,539
350.43,3230950,343.92,352.00,341.16,540
341.13,4343837,350.95,352.00,339.86,541
337.86,5105041,340.00,342.36,331.62,542
348.61,20906890,333.22,351.68,333.22,543
226.19,133387500,245.20,248.70,212.51,544
218.22,53501600,220.00,227.68,211.52,545
215.52,37515130,220.18,226.27,210.05,546
209.91,28152050,213.81,216.66,204.51,547
198.40,20318090,208.80,209.15,198.28,548
188.54,22298390,194.01,200.19,187.77,549
199.52,21363160,191.56,201.48,185.60,550
190.36,16391890,198.68,204.71,190.00,551
199.46,14591600,191.71,200.21,190.01,552
199.87,11839430,198.29,203.20,194.77,553
204.01,12218780,197.65,204.38,191.01,554
188.32,13971330,200.45,200.71,186.00,555
180.97,17185480,186.75,187.21,175.81,556
173.10,14031330,177.66,183.20,172.30,557
177.66,13883910,176.01,181.87,170.57,558
166.37,12665520,176.09,180.92,165.55,559
174.31,17662120,163.96,177.58,162.71,560
187.64,13136330,177.16,187.77,176.01,561
186.51,16145010,193.30,195.89,185.70,562
190.56,9876685,189.17,191.40,185.17,563
177.19,9665632,186.72,187.70,176.27,564
183.48,10448510,178.05,186.30,175.71,565
186.35,10429400,185.87,190.19,179.77,566
187.44,9602027,186.15,187.66,177.89,567
180.34,7706372,182.00,184.00,177.17,568
187.83,8522092,180.28,188.87,180.17,569
191.40,8049933,186.49,192.34,183.09,570
195.19,8585987,193.19,195.25,190.37,571
197.44,11398460,196.18,199.95,190.80,572
192.91,8416151,198.70,202.74,191.66,573
205.09,9623121,192.02,205.47,191.72,574
198.98,7191775,200.14,202.95,198.05,575
197.14,5372043,202.09,203.87,195.38,576
198.61,4839491,194.87,199.60,193.00,577
202.83,7244121,197.95,207.38,197.64,578
192.77,6948967,200.65,201.69,192.54,579
182.94,13074280,182.64,185.86,180.85,580
169.69,10222410,177.07,179.09,168.96,581
167.54,11555320,169.75,172.06,164.28,582
180.11,12396040,169.26,183.85,168.53,583
173.35,8201306,174.00,176.27,171.56,584
175.51,12133370,173.63,179.65,173.34,585
170.91,12177590,177.60,178.62,169.80,586
178.89,12010620,170.75,182.82,170.20,587
181.71,9538226,180.50,182.76,175.87,588
190.85,12423970,183.50,191.19,181.84,589
189.14,8363879,191.77,191.78,182.39,590
179.60,7201897,189.20,192.20,179.37,591
178.36,5766847,179.55,180.67,175.10,592
174.87,7894710,177.07,179.45,170.30,593
179.95,5201583,176.49,180.10,174.27,594
185.88,7339023,176.28,185.92,172.68,595
184.06,5753385,185.20,186.22,180.82,596
189.27,6334545,184.27,190.21,183.50,597
186.98,5835680,186.02,189.91,182.75,598
177.34,6048447,184.73,184.99,176.89,599
174.45,6845264,177.33,179.78,173.42,600
176.56,12734420,170.50,179.18,169.70,601
174.78,9039457,175.56,177.52,171.82,602
189.11,16319120,175.58,189.22,174.56,603
190.92,16322850,192.50,199.67,189.80,604
201.63,28178720,193.02,201.97,188.40,605
216.44,53920270,208.17,216.97,200.10,606
223.88,23430120,214.30,224.32,211.50,607
220.44,17805450,222.38,229.35,218.44,608
218.51,10935250,221.31,225.23,216.35,609
213.91,9508532,216.66,219.39,211.64,610
226.75,10508390,216.48,227.78,214.58,611
226.02,8972738,224.60,228.10,219.67,612
224.90,9064937,223.29,230.75,222.40,613
226.21,5525044,223.10,228.39,221.00,614
221.42,6361327,222.76,228.20,220.88,615
226.73,6400701,224.79,228.10,222.42,616
229.91,7142741,227.68,232.07,225.05,617
226.78,5539733,225.30,228.62,222.87,618
233.49,10997410,227.49,241.96,226.41,619
229.94,6181194,231.62,232.20,224.65,620
244.11,9254760,236.99,244.54,236.60,621
242.70,8780062,244.68,251.62,241.51,622
249.30,6098531,244.81,249.41,243.76,623
249.11,6527391,248.11,251.99,247.51,624
245.69,5136806,247.16,249.29,244.03,625
