Close/Last,Volume,Open,High,Low,Day
520.70,5362443,545.93,548.01,517.81,999
547.82,3042226,553.34,556.99,546.02,1000
550.64,3042180,545.57,552.14,542.00,1001
538.85,3755574,546.51,553.09,538.00,1002
546.70,4252879,550.27,556.48,535.75,1003
553.41,3245038,539.80,556.85,539.07,1004
546.15,4136532,525.00,548.54,518.28,1005
533.78,3078594,534.99,541.79,530.79,1006
540.22,2841457,548.00,548.99,538.81,1007
548.22,2457604,549.00,550.00,538.23,1008
551.34,2071590,550.99,555.25,543.03,1009
557.28,2624097,557.29,563.63,552.73,1010
556.52,2197128,556.94,561.25,550.85,1011
557.59,2730587,564.44,565.93,554.22,1012
563.59,3991264,562.50,566.65,553.46,1013
559.07,3703499,546.00,566.00,543.00,1014
547.92,2791721,555.00,555.00,543.70,1015
550.79,2376175,552.26,554.44,545.48,1016
552.16,5164537,539.81,559.48,537.51,1017
539.45,3172288,550.17,550.48,538.24,1018
548.16,3767569,542.01,555.48,538.94,1019
539.04,3547507,536.79,545.06,531.73,1020
532.39,4325264,538.00,541.00,530.18,1021
538.60,5968978,535.88,553.15,530.74,1022
523.28,8670277,550.71,556.42,515.73,1023
561.93,5023847,554.73,567.99,554.06,1024
556.78,7207329,567.00,569.75,548.65,1025
565.17,7550822,582.10,583.99,564.35,1026
579.84,11840630,582.45,588.75,570.40,1027
586.34,32637450,565.42,593.29,556.86,1028
501.77,12315810,501.00,509.25,493.54,1029
497.98,5895788,500.00,506.32,495.10,1030
500.86,4177357,507.35,514.50,499.58,1031
507.79,5032099,495.50,512.35,493.01,1032
494.25,5990425,500.00,501.09,485.67,1033
499.10,3812720,507.84,510.73,497.95,1034
510.40,2973949,511.31,513.24,504.51,1035
508.89,3686448,508.28,516.44,506.42,1036
500.49,5346210,511.97,513.10,499.50,1037
520.80,3133872,521.55,526.78,515.89,1038
522.86,4444407,539.00,540.80,515.09,1039
540.73,5392322,525.53,545.50,523.15,1040
524.59,1876286,530.13,533.26,523.69,1041
530.87,4022358,519.90,536.55,515.48,1042
519.12,2891867,516.43,523.66,507.13,1043
